title,stars,text,cleaned_text
United Christian Hospital,5,"Assalamalaiukum.

I would like to extend my heartfelt gratitude to the exceptional team of doctors especially.
Dr. Sheen Kausar,
Dr. Hani Ahsan,
and the nursing  staff at the United Christian Hospital  Lahore,
for outstanding care and compassion. From the moment we arrived, we felt confident that our patient, my wife Mrs. Saiqa Nadeem, is in capable hands.

The medical team's expertise, kindness, and dedication were evident throughout the entire process, from pre-surgery preparations to post-operative care. Their attentiveness and reassurance helped alleviate our concerns, making a difficult experience more manageable.

Please know that your selfless devotion to healing and caring for others has not gone unnoticed. We are deeply thankful for everything you've done for my family and appreciate the remarkable work you do every day.
Stay safe and stay blessed.
Best regards.🌹🌹🌹🌹","assalamalaiukum. i would like to extend my heartfelt gratitude to the exceptional team of doctors especially. dr. sheen kausar, dr. hani ahsan, and the nursing staff at the united christian hospital lahore, for outstanding care and compassion. from the moment we arrived, we felt confident that our patient, my wife mrs. saiqa nadeem, is in capable hands. the medical team's expertise, kindness, and dedication were evident throughout the entire process, from pre-surgery preparations to post-operative care. their attentiveness and reassurance helped alleviate our concerns, making a difficult experience more manageable. please know that your selfless devotion to healing and caring for others has not gone unnoticed. we are deeply thankful for everything you've done for my family and appreciate the remarkable work you do every day. stay safe and stay blessed. best regards."
Government Teaching Hospital Shahdara,4,Needs more facilities but still doctors n whole staff is working to provide the best to the patients inspite of  alot of patient  ... actually u cant satisfy everyone. So people go on complainting rather than waiting for their turn.,needs more facilities but still doctors n whole staff is working to provide the best to the patients inspite of alot of patient ... actually u cant satisfy everyone. so people go on complainting rather than waiting for their turn.
Government Teaching Hospital Shahdara,1,"Very poor experience indeed, no modern medical equipments like MRI etc, doctors attitide is traditional as in all govt hospitals of Pakistan...Better find another hospital for medical treatment.","very poor experience indeed, no modern medical equipments like mri etc, doctors attitide is traditional as in all govt hospitals of pakistan...better find another hospital for medical treatment."
Government Teaching Hospital Shahdara,4,Very Nice Hospital Thanks to PML (N).  Now they upgraded it with new blocks.,very nice hospital thanks to pml n. now they upgraded it with new blocks.
Government Teaching Hospital Shahdara,5,IT S OWESOME ...NO ANY WORD CAN TELL ITS GOODNESS.,it s owesome ...no any word can tell its goodness.
Mayo Hospital,4,New department is good and quiet better than old ones,new department is good and quiet better than old ones
Mayo Hospital,4,"Mayo Hospital in Lahore is one of the oldest and largest hospitals in Pakistan, and its historical significance is undeniable. The facility offers a wide range of medical services, from emergency care to specialized treatments. The medical staff, including doctors and nurses, are generally experienced and dedicated.

However, the hospital faces several challenges that impact the overall patient experience. The infrastructure is outdated, with some areas in need of urgent renovation. The waiting times can be long, and the patient load often exceeds capacity, leading to overcrowded wards and strained resources. Cleanliness is another area that requires improvement, as maintaining hygiene standards in such a busy environment seems challenging.","mayo hospital in lahore is one of the oldest and largest hospitals in pakistan, and its historical significance is undeniable. the facility offers a wide range of medical services, from emergency care to specialized treatments. the medical staff, including doctors and nurses, are generally experienced and dedicated. however, the hospital faces several challenges that impact the overall patient experience. the infrastructure is outdated, with some areas in need of urgent renovation. the waiting times can be long, and the patient load often exceeds capacity, leading to overcrowded wards and strained resources. cleanliness is another area that requires improvement, as maintaining hygiene standards in such a busy environment seems challenging."
Mayo Hospital,1,"I accompanied my mother to Mayo Hospital Lahore for a medical consultation. The consultation took place in Room Number 23 (out-patient department). During the consultation, when I mentioned how long my mother had been experiencing her symptoms, the doctor responded in an unprofessional and disrespectful manner by saying, ""ABB YAAD AYA HAI AP KO CHECK AP KRWANA?"" She was Soo rude, even not listening us properly.

Following this, the doctor sent us to Room Number 33 for further consultation. In Room Number 33, we observed that the doctor was using Google to write the prescription while she was engaged in a conversation with the other doctor. We were left waiting for an extended period without any attention or explanation.

This series of events not only made us feel uncomfortable but also raised concerns about the professionalism and efficiency of the medical care provided. We believe that patients and their families deserve to be treated with respect and to receive competent and attentive care from healthcare professionals.

I request that this matter be investigated and appropriate actions be taken to ensure that all patients receive respectful and professional care in the future.","i accompanied my mother to mayo hospital lahore for a medical consultation. the consultation took place in room number 23 out-patient department. during the consultation, when i mentioned how long my mother had been experiencing her symptoms, the doctor responded in an unprofessional and disrespectful manner by saying, ""abb yaad aya hai ap ko check ap krwana?"" she was soo rude, even not listening us properly. following this, the doctor sent us to room number 33 for further consultation. in room number 33, we observed that the doctor was using google to write the prescription while she was engaged in a conversation with the other doctor. we were left waiting for an extended period without any attention or explanation. this series of events not only made us feel uncomfortable but also raised concerns about the professionalism and efficiency of the medical care provided. we believe that patients and their families deserve to be treated with respect and to receive competent and attentive care from healthcare professionals. i request that this matter be investigated and appropriate actions be taken to ensure that all patients receive respectful and professional care in the future."
United Christian Hospital,5,"Good Hospital. Courteous and Professional Staff. Got my covid vaccination from here during the pandemic and it was hassle free. Located near liberty market Lahore, on Gulburg Mian Boulevard. Ample of parking space but it is paid parking.","good hospital. courteous and professional staff. got my covid vaccination from here during the pandemic and it was hassle free. located near liberty market lahore, on gulburg mian boulevard. ample of parking space but it is paid parking."
United Christian Hospital,1,Once a renowned hospital ruined by poor administration and an incompetent director. Health facilities are scarce. Plus they have not paid several staff members for last 7 to 8 months. Just paid them few bucks last easter...,once a renowned hospital ruined by poor administration and an incompetent director. health facilities are scarce. plus they have not paid several staff members for last 7 to 8 months. just paid them few bucks last easter...
United Christian Hospital,5,It's really good doctors and staff...,it's really good doctors and staff...
United Christian Hospital,3,Great building but need to maintain more,great building but need to maintain more
United Christian Hospital,1,"Went there for Covid booster dose. Upon arrival, the guards told me that nobody is available at the hospital.","went there for covid booster dose. upon arrival, the guards told me that nobody is available at the hospital."
United Christian Hospital,5,Christian Hospital care with compassionate healing for Glory of God.,christian hospital care with compassionate healing for glory of god.
Government Teaching Hospital Shahdara,5,"An excellent facility for this area, purpose built hospital having well equipped departments particularly Ophthalmology Department","an excellent facility for this area, purpose built hospital having well equipped departments particularly ophthalmology department"
United Christian Hospital,4,"Day staff is good, hardworking and caring about patients. Doctors were very approachable and ready to help.","day staff is good, hardworking and caring about patients. doctors were very approachable and ready to help."
United Christian Hospital,5,Near Monal Restaurant kalma chowk under pass,near monal restaurant kalma chowk under pass
United Christian Hospital,4,This is a good place to get vaccinated.,this is a good place to get vaccinated.
United Christian Hospital,4,The services are great and staff is very cooperative,the services are great and staff is very cooperative
United Christian Hospital,5,"I born here in 1963, my  one and only brother also born  here after 3 years❤️❤️❤️❤️","i born here in 1963, my one and only brother also born here after 3 years"
United Christian Hospital,1,This hospital need more maintaince staff is really rude ....don't listen carefully ...doctors don't come at emergency of their own patients.....very disappointing....above all bad smell all around Inside.,this hospital need more maintaince staff is really rude ....don't listen carefully ...doctors don't come at emergency of their own patients.....very disappointing....above all bad smell all around inside.
United Christian Hospital,4,A good n facilitated vaccination centre although in this hot summers .,a good n facilitated vaccination centre although in this hot summers .
United Christian Hospital,5,Dr Amima you us physiotherapist is best there.,dr amima you us physiotherapist is best there.
Mayo Hospital,3,Pathetic experience over here last night due to front desk attendant. I had normal blood pressure(130/80) but she wrongly diagnosed it 190/90 which leads me to several heart procedures like ecg and heart attack checkup. Later it was diagnosed that it was just a gastric pain. Thanks to doctors and medical staff. They were very cooperating.,pathetic experience over here last night due to front desk attendant. i had normal blood pressure13080 but she wrongly diagnosed it 19090 which leads me to several heart procedures like ecg and heart attack checkup. later it was diagnosed that it was just a gastric pain. thanks to doctors and medical staff. they were very cooperating.
Mayo Hospital,5,"neat and clean, affordable for all type of people.","neat and clean, affordable for all type of people."
Mayo Hospital,5,Construction work is going on in the mayo hospital. All doctors are senior and check the patients very carefully,construction work is going on in the mayo hospital. all doctors are senior and check the patients very carefully
United Christian Hospital,4,"Best im comfortable with their staff and doctors too.
They are really serving humanity.",best im comfortable with their staff and doctors too. they are really serving humanity.
United Christian Hospital,5,Its a Very Old Hospital in Lahore. I Know This Hospital.,its a very old hospital in lahore. i know this hospital.
United Christian Hospital,5,"The people in dental department are very much cooperative and did the satisfactory job. Thanks UCH management,  keep it up and may Lord bless you.","the people in dental department are very much cooperative and did the satisfactory job. thanks uch management, keep it up and may lord bless you."
United Christian Hospital,4,"Building is getting older, need some repairs","building is getting older, need some repairs"
Mayo Hospital,4,"Hospital Serving Man Kind From Last 100 Year's, Very Much Improved but very much overloaded.","hospital serving man kind from last 100 year's, very much improved but very much overloaded."
Mayo Hospital,1,The worst hospital. There doctors are so irresponsible because of them I lost my mother. They're inhuman they don't know how to treat their patients. They don't deserve to be doctors. On 7 May I lost my mother due to their inhuman behaviour. No doc was there to treat my mother. I will never recommend anyone to this hospital. And I'll never forgive them for giving me life time trauma. Don't take your loved one to this hospital they are just pathetic.,the worst hospital. there doctors are so irresponsible because of them i lost my mother. they're inhuman they don't know how to treat their patients. they don't deserve to be doctors. on 7 may i lost my mother due to their inhuman behaviour. no doc was there to treat my mother. i will never recommend anyone to this hospital. and i'll never forgive them for giving me life time trauma. don't take your loved one to this hospital they are just pathetic.
Mayo Hospital,1,"Unhygienic condition, staff even the gatekeepers take bribe and let people enter the wards. You can see balloon sellers and even beggars in the wards","unhygienic condition, staff even the gatekeepers take bribe and let people enter the wards. you can see balloon sellers and even beggars in the wards"
Mayo Hospital,5,Very nice place Hospital Lahore and I don't want you on off this world in the future and the best thing about this situation was a great Hotel and the city,very nice place hospital lahore and i don't want you on off this world in the future and the best thing about this situation was a great hotel and the city
United Christian Hospital,4,"United Christian Hospital is a general hospital which provides excellent services to their patients. It is located at Gulberg III in Lahore, Pakistan. It provides great standards in each field of medicine and surgery. It is a well-equipped hospital that contains great medical technology and provides all types of medical health and care services. Find the best doctors of United Christian Hospital listed on HamariWeb are Dr. Muhammad Javaid Shah, Dr. Samuael Nawab, Dr. Khalid Mehmood and others. This page is based on the basic information about the renowned United Christian Hospital. You can access the contact details and consultation timings of the doctors operate in United Christian Hospital. You can even find doctors by specialty in United Christian Hospital. You can browse and search for Kidney center, Cancer Hospitals, Children Hospitals, Clinic, Eye Hospitals and General Hospitals in Karachi, Lahore, Faisalabad, Gujranwala, Hyderabad, Rawalpindi and other districts of Pakistan.","united christian hospital is a general hospital which provides excellent services to their patients. it is located at gulberg iii in lahore, pakistan. it provides great standards in each field of medicine and surgery. it is a well-equipped hospital that contains great medical technology and provides all types of medical health and care services. find the best doctors of united christian hospital listed on hamariweb are dr. muhammad javaid shah, dr. samuael nawab, dr. khalid mehmood and others. this page is based on the basic information about the renowned united christian hospital. you can access the contact details and consultation timings of the doctors operate in united christian hospital. you can even find doctors by specialty in united christian hospital. you can browse and search for kidney center, cancer hospitals, children hospitals, clinic, eye hospitals and general hospitals in karachi, lahore, faisalabad, gujranwala, hyderabad, rawalpindi and other districts of pakistan."
United Christian Hospital,3,"A hospital is not one of the nicest places that one is keen on visiting. But without a hospital in town life could sometimes become a nightmare, especially in times of an emergency. A hospital is linked to life saving services, which enables a person to recover from some serious injury or illness. Sometimes situations in life make it essential for us to move into a hospital. The cause for visiting a hospital could mean illness or visiting a sick or injured person, who is a near and dear one. Thus one day when my uncle met with an accident and broke his leg, he got admitted into St. John's Hospital for treatment and recovery. It was when I went to visit him over the weekend that I realized how busy a hospital is.

It was a Sunday evening when my family members were getting ready to visit my uncle who had been admitted to St. John's Hospital on account of a motor cycle accident. My mother asked me to go along since on Sundays children were allowed into the hospital. I was not very keen on going, but I was worried about my uncle's recovery and I wanted to see him as well. So, I quickly dressed up and jumped into the car with mother, aunt and driver that headed towards the hospital. We reached in about half an hour. I was quite curious as well as a bit nervous as I had never been to a hospital before.

As soon as we entered the hospital we were directed by the security guards towards the reception that was centrally air conditioned. The hospital was very clean and maintained well. At the reception there was a big crowd of people. Some were seated while others remained standing in anxiety. When I asked my mother about the crowd of people, she told me that they had all come to see their near and dear ones who were admitted into the hospital because of some ailment. There was a well dressed lady at the reception who handed us four printed cards. There was quite a lot of hustle and bustle at the reception area. Visitors were seen hurrying up and down the stairs or some were even frequently moving up and down the elevators. We also proceeded towards the elevator and headed towards room number 412 where my uncle was admitted.

I was surprised and nervous to see so many sick people and their relatives who were so anxious. Regular announcements were being made. There was a medicine counter in the ground floor of the hospital that seemed to be always crowded. The next thing I noticed was two ambulances waiting in the car parking lot. Another ambulance had just arrived and a patient was being hurriedly moved towards the operation theatre. I saw ladies dressed in uniform serving the patients. My mother told me that they were nurses. The nurses were administering medicines to the patients. I also noticed an operation theatre on the third floor that had an ICU unit opposite it. When I peeped through the glass, I saw bottles of saline and oxygen cylinders being given to patients. There were also different types of machines, devices and gadgets that monitored the patient's condition. Doctors were seen visiting the patients, prescribing medicines and doing their health checkups. It really scared me think that one day perhaps I would be here to be treated for some sort of ailment or the other.

Finally we reached room number 412. I was happy to see my uncle recovering and he was also happy to see us. My aunt spoke to the doctor who said that my uncle was recovering fast and that there was nothing to worry. It was a great relief to hear those words of consolation. We had taken some clothes, fruits and eatables for my uncle, which we gave him. We spent some quality time with my uncle for nearly two hours, after which the visiting hours came to an end. A security guard came to alert us on the time and told us that it was time to leave. We wished my uncle good bye and I hugged him. He had to remain in the hospital for one more week or so.

I returned home with my aunt and mother. All throughout the way much. I was happy to see my uncle recover and I was expecting him to come home soon.","a hospital is not one of the nicest places that one is keen on visiting. but without a hospital in town life could sometimes become a nightmare, especially in times of an emergency. a hospital is linked to life saving services, which enables a person to recover from some serious injury or illness. sometimes situations in life make it essential for us to move into a hospital. the cause for visiting a hospital could mean illness or visiting a sick or injured person, who is a near and dear one. thus one day when my uncle met with an accident and broke his leg, he got admitted into st. john's hospital for treatment and recovery. it was when i went to visit him over the weekend that i realized how busy a hospital is. it was a sunday evening when my family members were getting ready to visit my uncle who had been admitted to st. john's hospital on account of a motor cycle accident. my mother asked me to go along since on sundays children were allowed into the hospital. i was not very keen on going, but i was worried about my uncle's recovery and i wanted to see him as well. so, i quickly dressed up and jumped into the car with mother, aunt and driver that headed towards the hospital. we reached in about half an hour. i was quite curious as well as a bit nervous as i had never been to a hospital before. as soon as we entered the hospital we were directed by the security guards towards the reception that was centrally air conditioned. the hospital was very clean and maintained well. at the reception there was a big crowd of people. some were seated while others remained standing in anxiety. when i asked my mother about the crowd of people, she told me that they had all come to see their near and dear ones who were admitted into the hospital because of some ailment. there was a well dressed lady at the reception who handed us four printed cards. there was quite a lot of hustle and bustle at the reception area. visitors were seen hurrying up and down the stairs or some were even frequently moving up and down the elevators. we also proceeded towards the elevator and headed towards room number 412 where my uncle was admitted. i was surprised and nervous to see so many sick people and their relatives who were so anxious. regular announcements were being made. there was a medicine counter in the ground floor of the hospital that seemed to be always crowded. the next thing i noticed was two ambulances waiting in the car parking lot. another ambulance had just arrived and a patient was being hurriedly moved towards the operation theatre. i saw ladies dressed in uniform serving the patients. my mother told me that they were nurses. the nurses were administering medicines to the patients. i also noticed an operation theatre on the third floor that had an icu unit opposite it. when i peeped through the glass, i saw bottles of saline and oxygen cylinders being given to patients. there were also different types of machines, devices and gadgets that monitored the patient's condition. doctors were seen visiting the patients, prescribing medicines and doing their health checkups. it really scared me think that one day perhaps i would be here to be treated for some sort of ailment or the other. finally we reached room number 412. i was happy to see my uncle recovering and he was also happy to see us. my aunt spoke to the doctor who said that my uncle was recovering fast and that there was nothing to worry. it was a great relief to hear those words of consolation. we had taken some clothes, fruits and eatables for my uncle, which we gave him. we spent some quality time with my uncle for nearly two hours, after which the visiting hours came to an end. a security guard came to alert us on the time and told us that it was time to leave. we wished my uncle good bye and i hugged him. he had to remain in the hospital for one more week or so. i returned home with my aunt and mother. all throughout the way much. i was happy to see my uncle recover and i was expecting him to come home soon."
United Christian Hospital,5,This is very good hospital and staff is very kind.there is no discrimination between Muslims and non-Muslims.both are treated equally,this is very good hospital and staff is very kind.there is no discrimination between muslims and non-muslims.both are treated equally
United Christian Hospital,5,i had eyes checkup twice. excellent service,i had eyes checkup twice. excellent service
United Christian Hospital,4,Not a maintained hospital. It can be one of the best hospitals if this could run by any private organization.,not a maintained hospital. it can be one of the best hospitals if this could run by any private organization.
United Christian Hospital,3,Good hospital for Christian community and as well for Pakistani,good hospital for christian community and as well for pakistani
United Christian Hospital,3,Some time it was best hospital in town.  But managment made it worst. Now it is growing again. Doctors are good. but more attention is required to bring it again at top level.,some time it was best hospital in town. but managment made it worst. now it is growing again. doctors are good. but more attention is required to bring it again at top level.
United Christian Hospital,5,Used to be the best hospital around,used to be the best hospital around
United Christian Hospital,2,Need major renovation and up gradation,need major renovation and up gradation
United Christian Hospital,5,In collaboration with the Forman Christian College this hospital take good care of patient.........,in collaboration with the forman christian college this hospital take good care of patient.........
United Christian Hospital,5,My uncle is administrator in uch,my uncle is administrator in uch
Mayo Hospital,5,"Environment is good... clean especially emergency, surgical tower and gynecology portion....staff behavior, doctor behavior, Despenser, lab attendant everyone is very corporative, respectful and kind to general public. I always prefer to go here as I trust the doctors here.","environment is good... clean especially emergency, surgical tower and gynecology portion....staff behavior, doctor behavior, despenser, lab attendant everyone is very corporative, respectful and kind to general public. i always prefer to go here as i trust the doctors here."
Mayo Hospital,5,Largest hospital of Pakistan.  One of the largest of Asia.  Turn over of thousands of patients daily.  Highly qualified & talented doctors.,largest hospital of pakistan. one of the largest of asia. turn over of thousands of patients daily. highly qualified talented doctors.
Mayo Hospital,4,Done LAR I had adenocarcinoma of rectum.,done lar i had adenocarcinoma of rectum.
Mayo Hospital,5,Good if you need free consultation,good if you need free consultation
Mayo Hospital,5,This is very good plase to helth,this is very good plase to helth
Mayo Hospital,1,"Worst Experience unprofessional behavior i visited this hospital for my eys issue first you have to wait for slip then wait for doctor just to write ""Room 06"" then wait in line to go in room 06 then doctor just write Room 07 then room 02 , 07 then again 02 after all the hurdles you just go to your home 😂 and the final doctor will say we didn't have these equipments please go any other hospital we have revamp here","worst experience unprofessional behavior i visited this hospital for my eys issue first you have to wait for slip then wait for doctor just to write ""room 06"" then wait in line to go in room 06 then doctor just write room 07 then room 02 , 07 then again 02 after all the hurdles you just go to your home and the final doctor will say we didn't have these equipments please go any other hospital we have revamp here"
Mayo Hospital,1,Not satisfying long wait and heavy rush,not satisfying long wait and heavy rush
Mayo Hospital,5,"I got to visit the orthopedic opd of Mayo , there I met the Head of the Orthopedic Ward , Dr Mumraiz Naqshband (sports surgeon) and to my amazement what a down to earth doctor he was even though He was the head of the orthopedic ward but still he treated patients in Government hospital OPD like it was his clinic, Wondering how will he treat people in his Clinic. A really humble and Polite doctor .
Thank you for existing Sir.","i got to visit the orthopedic opd of mayo , there i met the head of the orthopedic ward , dr mumraiz naqshband sports surgeon and to my amazement what a down to earth doctor he was even though he was the head of the orthopedic ward but still he treated patients in government hospital opd like it was his clinic, wondering how will he treat people in his clinic. a really humble and polite doctor . thank you for existing sir."
Mayo Hospital,3,No sitting arrangement for waiting patients less space,no sitting arrangement for waiting patients less space
Mayo Hospital,1,"A very bad dealing in every department opd in this hospital. Govt should check staff.
Then always busy with their cell phones and didn't take serious any patient even with critical condition.
Just wrote a single tab and come after 3 to 6 months. Didn't suggest any relevant testing.
Specially in Neuro dept.",a very bad dealing in every department opd in this hospital. govt should check staff. then always busy with their cell phones and didn't take serious any patient even with critical condition. just wrote a single tab and come after 3 to 6 months. didn't suggest any relevant testing. specially in neuro dept.
Mayo Hospital,3,"Government should take serious action against those doctors who ever present but not performing their jobs in accordence to the public requirement,i think they not known about the pain of such people they wait alot but all in vain......","government should take serious action against those doctors who ever present but not performing their jobs in accordence to the public requirement,i think they not known about the pain of such people they wait alot but all in vain......"
Mayo Hospital,4,Excellent care dealing in emergency situation,excellent care dealing in emergency situation
Mayo Hospital,5,Good facility nd environment doctors are 24hoursvavilble,good facility nd environment doctors are 24hoursvavilble
Mayo Hospital,4,All lunda brands at cheap rates,all lunda brands at cheap rates
Mayo Hospital,5,It's best economical hospital in Lahore,it's best economical hospital in lahore
Mayo Hospital,5,Pakistan's biggest hospital and healthcare center,pakistan's biggest hospital and healthcare center
Mayo Hospital,5,Mayo hospital medical store around about,mayo hospital medical store around about
Mayo Hospital,4,"Its not that clean place, This can be organized, cleaned, and managed more","its not that clean place, this can be organized, cleaned, and managed more"
Mayo Hospital,4,A public health care center where modern surgery is also available,a public health care center where modern surgery is also available
Mayo Hospital,1,Very disappointing ... Thousands of patients were there but the service was very bad,very disappointing ... thousands of patients were there but the service was very bad
Mayo Hospital,1,"Not good. All doctor and narses not be coprate with patients
So I request plzzzz action on it",not good. all doctor and narses not be coprate with patients so i request plzzzz action on it
Mayo Hospital,4,"Rushy, but good as compared to other Government hospitals","rushy, but good as compared to other government hospitals"
Mayo Hospital,5,"Mayo Hospital is a hospital in lahore located on Mayo Hospital Road. Mayo Hospital is situated nearby to Anarkali Bazaar and Lohari Gate.
Mayo Hospital is the oldest and largest hospital of the country, serving the humanity since 1871. Mayo Hospital was completed in 1870 and it started patient care in 1871. It was named after the Earl of Mayo, the then Viceroy and the Governor General of India
The main building of the hospital is one of the oldest buildings of British Era in Pakistan.","mayo hospital is a hospital in lahore located on mayo hospital road. mayo hospital is situated nearby to anarkali bazaar and lohari gate. mayo hospital is the oldest and largest hospital of the country, serving the humanity since 1871. mayo hospital was completed in 1870 and it started patient care in 1871. it was named after the earl of mayo, the then viceroy and the governor general of india the main building of the hospital is one of the oldest buildings of british era in pakistan."
Mayo Hospital,5,This is the hub of aria.,this is the hub of aria.
Mayo Hospital,3,Waiting area and parking area are need to improve,waiting area and parking area are need to improve
Mayo Hospital,1,"I don't know their problem jo call ka respond krna zaruri nai smjhte
Call jb operator forwarding krta ha skin wale me, that staff over there fir attending calls too much bad. They just say hello and drop the call, have no humanity","i don't know their problem jo call ka respond krna zaruri nai smjhte call jb operator forwarding krta ha skin wale me, that staff over there fir attending calls too much bad. they just say hello and drop the call, have no humanity"
Mayo Hospital,4,"Surgical Tower Mayo Hospital yesterday. It was a great experience. The whole tower looks like a private hospital. Cleanliness 5/5, wards condition and environment 5/5,  paramedic staff is also very cooperative unlike government hospitals. Single patient on single bed. Ni doubling. One monitor for 2 neighboring patients. Oxygen and suction machine is available with each bed. Each ward has a kitchen with fridge, microwave, nice stove, a kettle, water glasses and cups for patient. Medicine is available in the ward. The only trouble you may face is that you cant wander in corridors without purpose. Only one attendant can stay with patient in visiting hours only. Overall this part of hospital is unmatchable with the rest of the hospital.","surgical tower mayo hospital yesterday. it was a great experience. the whole tower looks like a private hospital. cleanliness 55, wards condition and environment 55, paramedic staff is also very cooperative unlike government hospitals. single patient on single bed. ni doubling. one monitor for 2 neighboring patients. oxygen and suction machine is available with each bed. each ward has a kitchen with fridge, microwave, nice stove, a kettle, water glasses and cups for patient. medicine is available in the ward. the only trouble you may face is that you cant wander in corridors without purpose. only one attendant can stay with patient in visiting hours only. overall this part of hospital is unmatchable with the rest of the hospital."
Mayo Hospital,5,Fast service good doctor behavior every minute patient coming free medicine and treatment,fast service good doctor behavior every minute patient coming free medicine and treatment
Mayo Hospital,1,"Worst medical facility ever in my life.
In 3 words: Filthy, non-cooperative and outdated.","worst medical facility ever in my life. in 3 words filthy, non-cooperative and outdated."
Mayo Hospital,5,It is on of the most famous hospital of lahore.,it is on of the most famous hospital of lahore.
Mayo Hospital,5,24/7 service available here for food and medication.,247 service available here for food and medication.
Mayo Hospital,4,One is best Government hospitals in Lahore.,one is best government hospitals in lahore.
Mayo Hospital,2,No system.just can buy services on cheep prices than a private clinic,no system.just can buy services on cheep prices than a private clinic
Mayo Hospital,3,Went to buy Medicine for my child but not found. I think they trade some fixed medicine.,went to buy medicine for my child but not found. i think they trade some fixed medicine.
Mayo Hospital,5,First time Mayo Hospital OPD. A good hospital and has good Parking. I am sharing my review about Parking. Charge 200 fee but you feel secure.,first time mayo hospital opd. a good hospital and has good parking. i am sharing my review about parking. charge 200 fee but you feel secure.
Mayo Hospital,3,Conjusted and over crowded chowk but near to Inside Lahore,conjusted and over crowded chowk but near to inside lahore
Mayo Hospital,3,Its good but a long line is always there.,its good but a long line is always there.
Mayo Hospital,5,"Great opportunity for people
Well educated doctors
Staff completely cooperative and caring",great opportunity for people well educated doctors staff completely cooperative and caring
Mayo Hospital,1,Extremely rushy area with no parking at all.. water accumulated on the road causing great hindrance to traffic...,extremely rushy area with no parking at all.. water accumulated on the road causing great hindrance to traffic...
Mayo Hospital,5,Mayo hospital 🏥 is good in emergency patient.some doctor's are very cooperative and some are very irresponsible.,mayo hospital is good in emergency patient.some doctor's are very cooperative and some are very irresponsible.
Mayo Hospital,1,"Pathetic behavior worst experience ever the people who were with admitted patients were crying and said ""Allah na kry kisi ko yahan ana pry"" just Dr Asif Chandiya from liver clinic is only best dr with very good behavior and trear his patient like human","pathetic behavior worst experience ever the people who were with admitted patients were crying and said ""allah na kry kisi ko yahan ana pry"" just dr asif chandiya from liver clinic is only best dr with very good behavior and trear his patient like human"
Mayo Hospital,5,Visited low vision clinic for my mother. The patience of doctors was commendable. It took my mother about an hour to find out the suitable glasses. But the doctors gave her full attention. Highly recommended.,visited low vision clinic for my mother. the patience of doctors was commendable. it took my mother about an hour to find out the suitable glasses. but the doctors gave her full attention. highly recommended.
Mayo Hospital,1,"Don't visit this hospital until or unless there is no other option left. They treat the patients like animals. Everyday a new person, most probably a student not a doctor, will come to you and ask for the patient's history and start experimenting as if your loved ones are an experiment material for them. Wards are more dirty than you can imagine. I will personally not recommend this hospital to anyone.","don't visit this hospital until or unless there is no other option left. they treat the patients like animals. everyday a new person, most probably a student not a doctor, will come to you and ask for the patient's history and start experimenting as if your loved ones are an experiment material for them. wards are more dirty than you can imagine. i will personally not recommend this hospital to anyone."
Mayo Hospital,3,Road conditions is too much bad and parking issues are also,road conditions is too much bad and parking issues are also
Mayo Hospital,5,All medical instruments available here are in good quality and reasonable price.,all medical instruments available here are in good quality and reasonable price.
Mayo Hospital,1,"one of the worst hospital of Lahore, infact filthy word for emergency is better. The doctors are like butchers they don't bother how serious is the patient, most of them are young doctors who do experiments on patients and all the time busy chating on mobiles or with their fellow nurses. the most pathetic place. Govt. should take some action against these butchers.","one of the worst hospital of lahore, infact filthy word for emergency is better. the doctors are like butchers they don't bother how serious is the patient, most of them are young doctors who do experiments on patients and all the time busy chating on mobiles or with their fellow nurses. the most pathetic place. govt. should take some action against these butchers."
Mayo Hospital,4,Availability of Medical and surgical equipment,availability of medical and surgical equipment
Mayo Hospital,5,Great experience to visit MAYO hospital Lahore.,great experience to visit mayo hospital lahore.
Mayo Hospital,3,"Over all good,but not very good","over all good,but not very good"
Mayo Hospital,5,Legends have legendary destinations always. Masha Allah,legends have legendary destinations always. masha allah
Mayo Hospital,4,This place is helpful for those who want to purchase medicines clothes fruites and Food item's,this place is helpful for those who want to purchase medicines clothes fruites and food item's
Mayo Hospital,5,A hestorical building and hestorical medical facilities are available here. It is no less than heaven for poor patients,a hestorical building and hestorical medical facilities are available here. it is no less than heaven for poor patients
Mayo Hospital,2,Very crowded area.tuff driving for four tyres wheels.,very crowded area.tuff driving for four tyres wheels.
Mayo Hospital,5,"There is Asia's largest hospital and lots of pharmacies. Lower and middle class families can buy different things from the famous ""Landa Bazar"".","there is asia's largest hospital and lots of pharmacies. lower and middle class families can buy different things from the famous ""landa bazar""."
Mayo Hospital,5,Everything is good in Mayo hospital specially Surgical tower is best department in which patients treats like private hospital,everything is good in mayo hospital specially surgical tower is best department in which patients treats like private hospital
Mayo Hospital,1,"This place is the flithiest place ever i have seen
The management is pathetic and patients are treated like cats and dogs there
And also there was no one at the reception.",this place is the flithiest place ever i have seen the management is pathetic and patients are treated like cats and dogs there and also there was no one at the reception.
Mayo Hospital,5,A Biggest Govt. Hospital in Lahore.,a biggest govt. hospital in lahore.
Mayo Hospital,5,I found a medicine which nobody had .,i found a medicine which nobody had .
Mayo Hospital,4,"Rushy area, traffic jam, best place to buy Landa","rushy area, traffic jam, best place to buy landa"
Mayo Hospital,5,So caring so nice it's Allah's gift for patients,so caring so nice it's allah's gift for patients
